groupi	groupj	w
terminase26	terminase5	4
terminase26	terminase6	3
terminase26	terminase7	1
terminase26	terminase8	3
terminase26	terminase9	2
terminase28	tectviridae	1
terminase28	terminase1	3
terminase28	terminase10	1
terminase28	terminase11	3
terminase28	terminase12	1
terminase28	terminase13	7
terminase28	terminase14	6
terminase28	terminase15	3
terminase28	terminase16	5
terminase28	terminase17	1
terminase28	terminase18	4
terminase28	terminase2	2
terminase28	terminase22	4
terminase28	terminase23	1
terminase28	terminase24	6
terminase28	terminase25	5
terminase28	terminase26	1
terminase28	terminase29	2
terminase28	terminase3	11
terminase28	terminase31	2
terminase28	terminase32	1
terminase28	terminase33	1
terminase28	terminase34	2
terminase28	terminase38	1
terminase28	terminase39	1
terminase28	terminase4	1
terminase28	terminase44	3
terminase28	terminase5	10
terminase28	terminase6	5
terminase28	terminase7	8
terminase28	terminase8	10
terminase28	terminase9	4
terminase29	tectviridae	1
terminase29	terminase1	2
terminase29	terminase10	1
terminase29	terminase11	1
terminase29	terminase12	1
terminase29	terminase13	5
terminase29	terminase14	2
terminase29	terminase15	3
terminase29	terminase16	2
terminase29	terminase17	1
terminase29	terminase18	4
terminase29	terminase2	2
terminase29	terminase22	2
terminase29	terminase23	4
terminase29	terminase24	3
terminase29	terminase25	3
terminase29	terminase26	2
terminase29	terminase28	2
terminase29	terminase3	7
terminase29	terminase31	1
terminase29	terminase32	1
terminase29	terminase33	1
terminase29	terminase34	1
terminase29	terminase38	1
terminase29	terminase39	1
terminase29	terminase4	1
terminase29	terminase44	2
terminase29	terminase5	4
terminase29	terminase6	2
terminase29	terminase7	3
terminase29	terminase8	3
terminase29	terminase9	4
terminase3	tectviridae	1
terminase3	terminase1	42
terminase3	terminase10	2
terminase3	terminase11	7
terminase3	terminase12	1
terminase3	terminase13	34
terminase3	terminase14	31
terminase3	terminase15	7
terminase3	terminase16	41
terminase3	terminase17	1
terminase3	terminase18	14
terminase3	terminase2	8
terminase3	terminase22	32
terminase3	terminase23	10
terminase3	terminase24	23
terminase3	terminase25	26
terminase3	terminase26	6
terminase3	terminase28	11
terminase3	terminase29	7
terminase3	terminase31	9
